MTPR from curr14.mtp, Database: group1.cfg
validation set: group2.cfg
Found configuration with mindist=2.00222, MTP's mindist will be decreased
BFGS iterations count set to 3000
BFGS convergence tolerance set to 0.001
Energy weight: 1
Force weight: 0.01
Stress weight: 0
MTPR parallel training started
BFGS iter 438: f=0.0146151
BFGS iter 439: f=0.0146133
BFGS iter 440: f=0.0146117
BFGS iter 441: f=0.0146104
BFGS iter 442: f=0.0146097
BFGS iter 443: f=0.0146083
BFGS iter 444: f=0.0146066
BFGS iter 445: f=0.0146049
BFGS iter 446: f=0.0146032
BFGS iter 447: f=0.0146019
BFGS iter 448: f=0.0146003
BFGS iter 449: f=0.0145984
BFGS iter 450: f=0.0145809
BFGS iter 451: f=0.0145778
BFGS iter 452: f=0.0145762
BFGS iter 453: f=0.0145746
BFGS iter 454: f=0.0145732
BFGS iter 455: f=0.0145721
BFGS iter 456: f=0.0145714
BFGS iter 457: f=0.0145704
BFGS iter 458: f=0.0145688
BFGS iter 459: f=0.0145673
BFGS iter 460: f=0.0145658
BFGS iter 461: f=0.0145647
BFGS iter 462: f=0.0145638
BFGS iter 463: f=0.0145622
BFGS iter 464: f=0.014561
BFGS iter 465: f=0.0145598
BFGS iter 466: f=0.0145588
BFGS iter 467: f=0.0145577
BFGS iter 468: f=0.0145563
BFGS iter 469: f=0.0145554
BFGS iter 470: f=0.0145541
BFGS iter 471: f=0.0145526
BFGS iter 472: f=0.0145517
BFGS iter 473: f=0.0145506
BFGS iter 474: f=0.0145495
BFGS iter 475: f=0.0145487
BFGS iter 476: f=0.0145477
BFGS iter 477: f=0.014547
BFGS iter 478: f=0.0145458
BFGS iter 479: f=0.0145448
BFGS iter 480: f=0.0145438
BFGS iter 481: f=0.0145427
BFGS iter 482: f=0.0145417
BFGS iter 483: f=0.0145409
BFGS iter 484: f=0.0145393
BFGS iter 485: f=0.0145383
BFGS iter 486: f=0.0145374
BFGS iter 487: f=0.014536
BFGS iter 488: f=0.014535
BFGS iter 489: f=0.014534
BFGS iter 490: f=0.0145329
BFGS iter 491: f=0.0145322
BFGS iter 492: f=0.0145313
BFGS iter 493: f=0.0145305
BFGS iter 494: f=0.0145297
BFGS iter 495: f=0.0145289
BFGS iter 496: f=0.0145281
BFGS iter 497: f=0.0145275
BFGS iter 498: f=0.0145268
BFGS iter 499: f=0.0145263
BFGS iter 500: f=0.014512
BFGS iter 501: f=0.0145081
BFGS iter 502: f=0.0145065
BFGS iter 503: f=0.0145058
BFGS iter 504: f=0.0145052
BFGS iter 505: f=0.0145048
BFGS iter 506: f=0.0145045
BFGS iter 507: f=0.014504
BFGS iter 508: f=0.0145035
BFGS iter 509: f=0.0145031
BFGS iter 510: f=0.0145026
BFGS iter 511: f=0.0145023
BFGS iter 512: f=0.0145017
BFGS iter 513: f=0.0145014
BFGS iter 514: f=0.0145009
BFGS iter 515: f=0.0145005
BFGS iter 516: f=0.0145001
BFGS iter 517: f=0.0144996
BFGS iter 518: f=0.014499
BFGS iter 519: f=0.0144984
BFGS iter 520: f=0.0144979
BFGS iter 521: f=0.0144973
BFGS iter 522: f=0.0144968
BFGS iter 523: f=0.0144961
BFGS iter 524: f=0.0144957
BFGS iter 525: f=0.014495
BFGS iter 526: f=0.0144946
BFGS iter 527: f=0.0144939
BFGS iter 528: f=0.0144933
BFGS iter 529: f=0.0144928
BFGS iter 530: f=0.0144922
BFGS iter 531: f=0.0144918
BFGS iter 532: f=0.0144911
BFGS iter 533: f=0.0144906
BFGS iter 534: f=0.01449
BFGS iter 535: f=0.0144894
BFGS iter 536: f=0.0144891
BFGS iter 537: f=0.0144885
BFGS iter 538: f=0.0144882
BFGS iter 539: f=0.0144877
BFGS iter 540: f=0.0144871
BFGS iter 541: f=0.0144865
BFGS iter 542: f=0.0144859
BFGS iter 543: f=0.0144853
BFGS iter 544: f=0.0144847
BFGS iter 545: f=0.0144841
BFGS iter 546: f=0.0144836
BFGS iter 547: f=0.014483
BFGS iter 548: f=0.0144825
BFGS iter 549: f=0.014482
BFGS iter 550: f=0.0144725
BFGS iter 551: f=0.0144698
BFGS iter 552: f=0.014469
